image 104, sky : 16.143253378550018, sea : 8.918546461413403, Land : 46.515691681908244
image 105, sky : 9.571334559010314, sea : 5.648572848397094, Land : 55.40000412792765
image 106, sky : 13.250627921302646, sea : 6.848648738759336, Land : 56.62744738479907
image 107, sky : 32.29329402276076, sea : 6.731717249657064, Land : 37.7595831428136
image 108, sky : 14.004292250927197, sea : 11.244058165675964, Land : 44.434700153685924
image 109, sky : 29.48223482827821, sea : 19.95551364121323, Land : 14.21285182644922
image 110, sky : 12.184193688716151, sea : 25.95482141949906, Land : 22.540271109586953
image 111, sky : 14.302515178072447, sea : 7.35636399430981, Land : 29.184805733373974
image 112, sky : 7.454561042524005, sea : 5.2176013247472435, Land : 62.99554977645684
image 113, sky : 6.151624339531576, sea : 2.688134271960575, Land : 44.36688703449677
image 114, sky : 23.02784287202154, sea : 5.17042784382462, Land : 33.23055190392725
image 115, sky : 5.80269537799116, sea : 19.457205297718843, Land : 42.7128978687192
image 116, sky : 33.803222482599196, sea : 13.452320847939847, Land : 26.567957596657017
image 117, sky : 25.135943771274704, sea : 11.714364076868364, Land : 34.94941700960219
image 118, sky : 40.577092224254436, sea : 21.571934696184524, Land : 23.977623456790123
image 119, sky : 31.690041057003505, sea : 17.191131782502666, Land : 23.622998748920388
image 120, sky : 15.595687744500331, sea : 26.73823461235584, Land : 27.283339366458364
image 121, sky : 28.33381757100036, sea : 19.872399405578417, Land : 26.046548734948942
image 122, sky : 9.474705329472133, sea : 28.84534322130773, Land : 33.373461553116904
image 123, sky : 5.268525663008687, sea : 9.606481481481481, Land : 55.26975610298227
image 124, sky : 20.317104226997916, sea : 13.278253283290148, Land : 37.85561699817101
image 125, sky : 19.246561912564143, sea : 15.86372520068079, Land : 34.450949899659605
image 126, sky : 1.6728426815018036, sea : 34.754173969923286, Land : 29.028043711578523
image 127, sky : 9.13772354315907, sea : 9.703071019407611, Land : 49.08881950795102
image 128, sky : 7.141930060204237, sea : 10.687502381496722, Land : 51.09169794365697
image 129, sky : 6.617425252756186, sea : 4.592875196870396, Land : 57.374383986180966
image 130, sky : 13.072015667073108, sea : 4.5149407166082405, Land : 56.375564414723364
image 131, sky : 8.488309232586495, sea : 4.631713439262308, Land : 64.17228699893309
image 132, sky : 11.659530114819896, sea : 4.015560699588478, Land : 57.589413294467306
image 133, sky : 11.785570828887874, sea : 41.11622339074328, Land : 12.540544981710106
image 134, sky : 18.781495294162475, sea : 36.885415079002186, Land : 16.942741674287458
image 135, sky : 26.807952928923434, sea : 34.54591208149164, Land : 10.142377781588173
image 136, sky : 24.90174341436773, sea : 21.41926091043032, Land : 44.81800205126251
image 137, sky : 24.550413110298226, sea : 15.906314300411523, Land : 27.1135783417162
image 138, sky : 20.459339118782705, sea : 22.202971790377482, Land : 26.29356948254839
image 139, sky : 26.269774361123808, sea : 25.475267362698776, Land : 23.94987901996647
image 140, sky : 31.49160284255449, sea : 36.54398783213941, Land : 17.560224082964996
image 141, sky : 38.867852334501855, sea : 32.693921308997616, Land : 7.885393645531677
image 142, sky : 15.928680523802266, sea : 20.15675011431184, Land : 32.65559905756236
image 143, sky : 21.240648656200783, sea : 5.928398713356704, Land : 43.90866721917391
image 144, sky : 32.27517480185947, sea : 4.783672775999594, Land : 36.01086994487629
image 145, sky : 23.83832574429711, sea : 2.950991972768379, Land : 41.10707447416552
image 146, sky : 2.5248032883706752, sea : 9.982817501143119, Land : 55.230640019306
image 147, sky : 25.99923633338414, sea : 13.169180733373977, Land : 31.292073108774073
image 148, sky : 20.747599451303156, sea : 17.813436722044404, Land : 29.71766562515877
image 149, sky : 15.342752946705279, sea : 18.013919054514048, Land : 35.1767110260123
